# generated by scripts/make_more_samplesheets.py — data_root=/BiO/scratch/ehojune/GIAB_benchmark
sample,dataset,unit,fastq_1,fastq_2,bytes
HG007,HiSeq100x,Sample_NA24695.NA24695_CTTGTA_L001.011,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R1_011.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R2_011.fastq.gz,1053871605
HG007,HiSeq100x,Sample_NA24695.NA24695_CTTGTA_L001.012,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R1_012.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R2_012.fastq.gz,1056688037
HG007,HiSeq100x,Sample_NA24695.NA24695_CTTGTA_L001.013,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R1_013.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R2_013.fastq.gz,1065606955
HG007,HiSeq100x,Sample_NA24695.NA24695_CTTGTA_L001.014,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R1_014.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R2_014.fastq.gz,1067025537
HG007,HiSeq100x,Sample_NA24695.NA24695_CTTGTA_L001.015,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R1_015.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R2_015.fastq.gz,1063848791
HG007,HiSeq100x,Sample_NA24695.NA24695_CTTGTA_L001.016,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R1_016.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R2_016.fastq.gz,1071578859
HG007,HiSeq100x,Sample_NA24695.NA24695_CTTGTA_L001.017,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R1_017.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R2_017.fastq.gz,1074543406
HG007,HiSeq100x,Sample_NA24695.NA24695_CTTGTA_L001.018,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R1_018.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R2_018.fastq.gz,1074939092
HG007,HiSeq100x,Sample_NA24695.NA24695_CTTGTA_L001.019,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R1_019.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R2_019.fastq.gz,1040330277
HG007,HiSeq100x,Sample_NA24695.NA24695_CTTGTA_L001.020,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R1_020.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG007_NA24695-hu38168_mother/NA24695_Mother_HiSeq100x/NA24695_Mother_HiSeq100x_fastqs/141008_D00360_0059_BHB66DADXX/Sample_NA24695/NA24695_CTTGTA_L001_R2_020.fastq.gz,1046025206
