# generated by scripts/make_samplesheets.py — data_root=/BiO/scratch/ehojune/GIAB_benchmark
sample,dataset,unit,fastq_1,fastq_2,bytes
HG003,BGISEQ500,CL100076246.L01,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG003_NA24149_father/BGISEQ500/BGISEQ500_PCRfree_NA24149_CL100076246_L01_read_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG003_NA24149_father/BGISEQ500/BGISEQ500_PCRfree_NA24149_CL100076246_L01_read_2.fq.gz,117398537625
HG003,BGISEQ500,CL100076246.L02,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG003_NA24149_father/BGISEQ500/BGISEQ500_PCRfree_NA24149_CL100076246_L02_read_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/AshkenazimTrio/HG003_NA24149_father/BGISEQ500/BGISEQ500_PCRfree_NA24149_CL100076246_L02_read_2.fq.gz,115287868935
