# generated by scripts/make_more_samplesheets.py — data_root=/BiO/scratch/ehojune/GIAB_benchmark
sample,dataset,unit,fastq_1,fastq_2,bytes
HG008-T-p2,BCM_NovaSeqX,BCM_ILMN-HG008Tp2_20250521.22JHKKLT4-6-IDUDI0041_S80_L006.001,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/Liss_lab/other_passages/BCM_ILMN-HG008Tp2_20250521/22JHKKLT4-6-IDUDI0041_S80_L006_R1_001.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/Liss_lab/other_passages/BCM_ILMN-HG008Tp2_20250521/22JHKKLT4-6-IDUDI0041_S80_L006_R2_001.fastq.gz,66031678453
HG008-T-p2,BCM_NovaSeqX,BCM_ILMN-HG008Tp2_20250521.22L2YWLT4-4-IDUDI0004_S119_L004.001,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/Liss_lab/other_passages/BCM_ILMN-HG008Tp2_20250521/22L2YWLT4-4-IDUDI0004_S119_L004_R1_001.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/Liss_lab/other_passages/BCM_ILMN-HG008Tp2_20250521/22L2YWLT4-4-IDUDI0004_S119_L004_R2_001.fastq.gz,121455697000
