# generated by scripts/make_more_samplesheets.py — data_root=/BiO/scratch/ehojune/GIAB_benchmark
sample,dataset,unit,fastq_1,fastq_2,bytes
HG008-T-SC14,BCM_NovaSeqX,22TY22LT4-5-IDUDI0016v2_S60_L005.001,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/NIST/HG008-T_clones/20240805p19/SC14/p20plus13/BCM_ILMN_HG8T-SC14-p20plus13_20250904/22TY22LT4-5-IDUDI0016v2_S60_L005_R1_001.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/NIST/HG008-T_clones/20240805p19/SC14/p20plus13/BCM_ILMN_HG8T-SC14-p20plus13_20250904/22TY22LT4-5-IDUDI0016v2_S60_L005_R2_001.fastq.gz,58163494653
HG008-T-SC14,BCM_NovaSeqX,22TY22LT4-6-IDUDI0016v2_S72_L006.001,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/NIST/HG008-T_clones/20240805p19/SC14/p20plus13/BCM_ILMN_HG8T-SC14-p20plus13_20250904/22TY22LT4-6-IDUDI0016v2_S72_L006_R1_001.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/NIST/HG008-T_clones/20240805p19/SC14/p20plus13/BCM_ILMN_HG8T-SC14-p20plus13_20250904/22TY22LT4-6-IDUDI0016v2_S72_L006_R2_001.fastq.gz,57617370339
HG008-T-SC14,BCM_NovaSeqX,22TY22LT4-7-IDUDI0016v2_S84_L007.001,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/NIST/HG008-T_clones/20240805p19/SC14/p20plus13/BCM_ILMN_HG8T-SC14-p20plus13_20250904/22TY22LT4-7-IDUDI0016v2_S84_L007_R1_001.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/NIST/HG008-T_clones/20240805p19/SC14/p20plus13/BCM_ILMN_HG8T-SC14-p20plus13_20250904/22TY22LT4-7-IDUDI0016v2_S84_L007_R2_001.fastq.gz,58322899279
HG008-T-SC14,BCM_NovaSeqX,22TY22LT4-8-IDUDI0016v2_S96_L008.001,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/NIST/HG008-T_clones/20240805p19/SC14/p20plus13/BCM_ILMN_HG8T-SC14-p20plus13_20250904/22TY22LT4-8-IDUDI0016v2_S96_L008_R1_001.fastq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG008/NIST/HG008-T_clones/20240805p19/SC14/p20plus13/BCM_ILMN_HG8T-SC14-p20plus13_20250904/22TY22LT4-8-IDUDI0016v2_S96_L008_R2_001.fastq.gz,57418351072
