# generated by scripts/make_more_samplesheets.py — data_root=/BiO/scratch/ehojune/GIAB_benchmark
sample,dataset,unit,fastq_1,fastq_2,bytes
HG006,BGISEQ500,BGISEQ500.BGISEQ500_PCRfree_NA24694_CL100076304_L01,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG006_NA24694-huCA017E_father/BGISEQ500/BGISEQ500_PCRfree_NA24694_CL100076304_L01_read_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG006_NA24694-huCA017E_father/BGISEQ500/BGISEQ500_PCRfree_NA24694_CL100076304_L01_read_2.fq.gz,104199371934
HG006,BGISEQ500,BGISEQ500.BGISEQ500_PCRfree_NA24694_CL100076304_L02,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG006_NA24694-huCA017E_father/BGISEQ500/BGISEQ500_PCRfree_NA24694_CL100076304_L02_read_1.fq.gz,/BiO/scratch/ehojune/GIAB_benchmark/data/ChineseTrio/HG006_NA24694-huCA017E_father/BGISEQ500/BGISEQ500_PCRfree_NA24694_CL100076304_L02_read_2.fq.gz,102444792803
