# generated by scripts/make_samplesheets.py — data_root=/BiO/scratch/ehojune/GIAB_benchmark
sample,dataset,input_type,file,index
HG009N-WT-p4,HG009-N_bulk,hifi_bam,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG009/NIST/HG009-N_bulk/20250728p4/BCM_Revio_HG009N-WT-p4_20260313/m84059_260206_135527_s1.demux.bc2067--bc2067.bam,
HG009N-WT-p4,HG009-N_bulk,hifi_bam,/BiO/scratch/ehojune/GIAB_benchmark/data_somatic/HG009/NIST/HG009-N_bulk/20250728p4/BCM_Revio_HG009N-WT-p4_20260313/m84059_260206_155840_s2.demux.bc2067--bc2067.bam,
